tweet,date
sound dicked might appropriate,2020-12-17
word senior many connotation,2020-12-17
,2020-12-17
think pretty much cover assuming twovalued logic system worth making assumption explicit code,2020-12-17
fortran boolean type called logical see making case vexillological type support,2020-12-17
monsignor boolean thumb bit,2020-12-17
would suggest following rename variable discus code author explain someone term need may emerge exchange inline variable eliminate pushing expression usage context easier context small,2020-12-17
youre right let feed back,2020-12-17
,2020-12-17
shown code boolean flag variable called flag take back first job university fortran code among many eldritch horror clown surprise included variable flag flag flag decade may pas thing never change,2020-12-17
dont think situation quite extreme say,2020-12-17
schl nice coinage unfortunately recognisable experience,2020-12-17
new blog post control essay paradigm refactoring control flow data code dualism roman numeral ever u,2020-12-17
javascript never stop surprising u,2020-12-17
whatsthat comingover thehill isit amonster,2020-12-17
still yup smalltalk doesnt get free pas smalltalk first came across convention,2020-12-16
,2020-12-16
meh also use python notion privacy thats recognised language eg semantics import name mangling object attribute rather arbitrary external convention,2020-12-16
dont problem used predicate problem mandated prefix form one show clear sometimes right word sometimes sometimes sometimes different verb form,2020-12-16
always disliked convention object pascal noisy unnecessary different hn often used cover issue code naming,2020-12-16
use single underscore anon match feature language idiom others used parameter without language support im sure add much using prefix feel noisy often doesnt signal quality thats useful,2020-12-16
depends depends bit language bit culture someone c example reconsider c already sorted,2020-12-16
yup there lot iceberg tip,2020-12-16
yup,2020-12-16
reminded twice morning dislike identifier wart code first spotted someone using prefix method parameter workshop session stumbled across old blog post nunit using f field prefix path wart le troubled,2020-12-16
reflected,2020-12-16
,2020-12-14
gee,2020-12-14
booch,2020-12-14
,2020-12-14
,2020-12-14
,2020-12-14
,2020-12-12
thanks seems right effect whatever end called anyinvocable longer appears candidate,2020-12-11
,2020-12-11
great glad liked,2020-12-11
,2020-12-11
,2020-12-11
rhodes,2020-12-11
im speaking bytemycode tomorrow lambda keep using letter register free,2020-12-11
rhodes,2020-12-11
video paper recommendation,2020-12-11
,2020-12-10
,2020-12-10
correlation lie say confidence loc feature gt loc feature,2020-12-10
,2020-12-10
gee,2020-12-10
gee perhaps add viewing instruction play recommended playlist ive seen author suggest reading work,2020-12-10
real thing experience suggests past even without explicit encouragement reward idea loc better still subtle hold,2020-12-10
interviewed looking forward receiving hard copy,2020-12-09
much time place company development culture valued whereas others contemporary valued exactly opposite,2020-12-09
,2020-12-09
somewhat,2020-12-09
thanks rt,2020-12-09
something initially noted tripped others including one paper referred however muddy area spelling invocable invokable current use former already use standard unrelated context,2020-12-09
believe quote one comedy one tragedy,2020-12-09
,2020-12-09
,2020-12-09
thats something included couple talk recent believe video equal around minute slide,2020-12-09
think word nothing shifting absolute rather relative change perfectly acceptable solution,2020-12-09
flash hand flash fiction open mic night slumbering pandemic back online open miccam evening tomorrow join tomorrow night evening,2020-12-09
ambient pearl part goto ambient listening,2020-12-09
,2020-12-09
,2020-12-09
invidian,2020-12-08
,2020-12-08
,2020-12-08
,2020-12-08
c crowd p renaming anyinvocable,2020-12-08
ree preference would ampamp guard clause case,2020-12-08
imagine review would peppered salty comment,2020-12-08
hmm might explain thing,2020-12-08
,2020-12-08
id normally let innumeracy like xx slide ive received online availability company invoicing system would one situation want folk totally top number game rather loose breezy,2020-12-08
ree couple thought first reverse assumption verbosity often hindrance comprehension second shortcircuiting boolean operator safer align readingorder assumption common,2020-12-08
,2020-12-08
gb ub,2020-12-08
wow knew brexit going bad even severe expected,2020-12-08
,2020-12-08
,2020-12-08
,2020-12-08
,2020-12-07
hoodie,2020-12-07
thanks helpful little surprising yes expected c unsurprised assembler python one list suspect,2020-12-07
style one use stack framework structuring question eg respect common state common outcome transformation result eventcallout effect etc help,2020-12-07
week instagram,2020-12-05
,2020-12-05
onboard system well launcher ariane satellite probe,2020-12-05
arianespace using ada likely common heritage mandated role u dod contract wide adoption france elsewhere aerospacemilitary project,2020-12-05
feature schiaparelli incident talk software failure although programming language contribute problem able state coderelated assumption written would paint accurate picture currently use pseudocode,2020-12-04
,2020-12-04
brilliant thanks least confirms suspicion ada may mix,2020-12-04
know esa subcontractor still use ada software,2020-12-04
anyone connection esa esa subcontractor know programming language used illfated exomars schiaparelli lander mentioned crash report im guessing c c ada guess fact tia,2020-12-04
,2020-12-01
think would agscrum agsafe perhaps aaghscrum aaghsafe,2020-12-01
gee,2020-12-01
,2020-11-30
youre right think youre overcommitting meeting meeting change control terminology possibly meeting,2020-11-30
think approach defining agile may value let know youre done done done definition,2020-11-30
im pretty sure thats agile waterfall,2020-11-30
whenever anyone introduces process theyre using agile scrum agile safe cant help smile agile clarification added suggests process name doesnt express agility,2020-11-30
week instagram,2020-11-29
yes,2020-11-29
,2020-11-28
,2020-11-27
,2020-11-27
,2020-11-27
would annoying,2020-11-27
,2020-11-26
term antiprime one best answer question coined question answered many time yesterday watched video son lunch,2020-11-26
,2020-11-26
joshua,2020-11-25
maybe supposed one always get nicked ahem quality control stage production,2020-11-25
,2020-11-25
,2020-11-25
,2020-11-25
,2020-11-25
got first,2020-11-25
think misunderstood jaffa cake nature word share use,2020-11-25
,2020-11-25
perfect thats kind word fingered example well thanks,2020-11-25
math nerd question came across observation divisible occurred almost opposite constitutes prime highly composite number term lack oomph prime snappier term tia,2020-11-25
,2020-11-25
plan using quote future talk making cycle complete,2020-11-24
,2020-11-24
,2020-11-24
later today im goto night meetup talking wibblywobbly timewimey stuff friday im running standalone workshop conference unit testing c program gut c,2020-11-24
worth noting late change initial standardisation c seen penultimate footnote draft range tmsec allows occasional leap second,2020-11-23
noticed reincarnated old video site back here conference meetup talk others going back,2020-11-23
,2020-11-23
,2020-11-23
,2020-11-23
,2020-11-22
,2020-11-22
,2020-11-22
,2020-11-22
metaprogramming,2020-11-22
,2020-11-22
exactitude technical debt radar piece value failure mode metaphor technical debt isnt cost debt simply repayment debt,2020-11-21
,2020-11-20
,2020-11-20
,2020-11-20
version dan knock knock people who dan troublemaker people shall pas version dan knock knock people who dan agile troublemaker people come version dan knock knock people who dan rumpelstiltskin people wtaf,2020-11-20
,2020-11-20
agile troublemaker,2020-11-20
yup episode perfect storm,2020-11-19
mertz,2020-11-19
,2020-11-19
yeah dont want go complicates matter,2020-11-19
plus side without one although may possible deliver right thing also make impossible deliver wrong thing,2020-11-19
im also picking idea config file form code foreign many developer giving citizenship important last time raised point someone tried tell flat config code update theyre still wrong,2020-11-19
im picking config common source problem eg see early detection configuration error reduce failure damage find personally config clobbering common frustration whenever apps site update,2020-11-19
im suggesting permanent searchandreplace option thinking exercise help reveal blind spot may highlight new possibility,2020-11-19
sometimes changing word use offer important shift perspective eg replacing configuration code may raise question versioning testing replacing configuration database may highlight config change schema migration,2020-11-19
computer,2020-11-19
clearly software upset able solve old puzzler long piece string,2020-11-19
thelz,2020-11-19
ltdropgtltdropgt,2020-11-19
keep trying return,2020-11-19
refuse vote colour blindness,2020-11-19
also cannot get catch meetup talk next week wibblywobbly timewimey stuff,2020-11-19
jones,2020-11-18
yup hsbc,2020-11-18
,2020-11-18
ware interesting hadnt come across part apollo sad tale thanks interesting apollo suffered thing could connected shouldnt apollo solve problem thing connect didnt,2020-11-18
payload satellite uninsured,2020-11-18
indeed,2020-11-18
human error design one chief technical officer told reporter designing cable affordance inverted leading loss mission design error fascinating tell,2020-11-18
banking app enter valid sort code dd banking app banking app banking app dd banking app,2020-11-18
,2020-11-18
conference,2020-11-18
coming next week im running day friday th usd open enrolment conference workshop unit testing c program gut c,2020-11-18
hm,2020-11-18
,2020-11-18
,2020-11-18
there chance youll find growth,2020-11-17
breath fresh air,2020-11-17
,2020-11-17
,2020-11-17
would go fish recycling wont,2020-11-17
next tuesday ill talking wibblywobbly timewimey stuff online goto night,2020-11-17
ill sure make scarce,2020-11-17
bristol still far enough away,2020-11-17
umm im good right thanks,2020-11-17
zameth,2020-11-16
yeah received one well pure marketing exercise trying make lack substance,2020-11-16
look like apple breaking law could taken court number different country issue well eu,2020-11-16
also one people given word limit flash fiction turn story exactly word limit,2020-11-15
im one people squeeze doesnt go anymore pull back little squeeze,2020-11-15
rogue one,2020-11-15
word break,2020-11-15
instagrams week,2020-11-15
conference use mix language presentation java c,2020-11-15
,2020-11-15
bingham,2020-11-14
week instagram bristol,2020-11-14
,2020-11-14
ecurrie made think seven whose head,2020-11-14
huh also looked thing seems usage thats grown outside tech,2020-11-12
dent yup one,2020-11-12
ive heard one particular demographic,2020-11-12
ive started ill finish,2020-11-12
,2020-11-12
,2020-11-12
,2020-11-11
,2020-11-11
,2020-11-11
,2020-11-11
,2020-11-11
,2020-11-11
icymi last week wordfriday trumpery,2020-11-11
friday ill talking lambda calculus history church encoding peano axiom c ruby lisp scheme algol smalltalk nsfw code etc russia lambda keep using letter,2020-11-11
,2020-11-11
,2020-11-11
much,2020-11-11
perhaps another talk make sure recorded shared linkable reference point,2020-11-11
thank youre welcome,2020-11-11
talk say le code software many year old unfortunately recorded,2020-11-11
,2020-11-10
tomorrow ill kicking code risk,2020-11-10
unreasonable architecture,2020-11-10
nice collection,2020-11-09
find online month build stuff c russia russia goto night ndc workshop conference,2020-11-09
small wave bitbased solution week back nice another addition,2020-11-08
think thats perspectiveshiftshake think valuable,2020-11-08
,2020-11-08
,2020-11-08
two point solution presented think worth noting let data talking ie use table rather controlflow present make choice behaviour data ie returning functionality rather value,2020-11-08
ereyesterdays wordfriday trumpery,2020-11-08
prefer one solution another exercise explore different constraint style answer different question would look like x would look like didnt etc,2020-11-08
,2020-11-08
like idea reverse lookup workaround perhaps another approach would combine two boolean result string use key per j solution,2020-11-08
,2020-11-08
,2020-11-08
,2020-11-08
,2020-11-08
,2020-11-08
yes sorry added context clear bio,2020-11-07
one im honestly sure matter,2020-11-07
wonderful penny lost job woman color truly wonderful yes today deserves american spelling,2020-11-07
,2020-11-07
,2020-11-07
yesterday wordfriday trumpery,2020-11-07
hilary fair weve waited four year u elect president,2020-11-07
,2020-11-07
,2020-11-07
,2020-11-07
,2020-11-07
gee thing,2020-11-07
pointing different solution approach draw different paradigm one us table lookup us control flow,2020-11-07
,2020-11-07
yes ive lot people post controlflow solution response tweet,2020-11-07
switch controlflow structure regardless whether statement expression example following controlflow structure always classified switch ampamp etc,2020-11-07
thats different solution style us control flow rather data structure flow python version,2020-11-07
gee thing likewise variant prisoner dilemma,2020-11-07
although superficially similar layout different solution one presented us controlflow structure based data structure data flow alone c,2020-11-07
,2020-11-07
unexpected pleasant surprise post yesterday framed image cover thing book gee edited,2020-11-07
,2020-11-07
,2020-11-07
,2020-11-07
,2020-11-07
today wordfriday trumpery,2020-11-07
,2020-11-06
,2020-11-06
,2020-11-06
another example job title didnt exist parent wouldnt understand,2020-11-06
,2020-11-06
favourite compiletime implementation fizzbuzz come like erwin unruhs original tmp example fails compile compilation error containing result,2020-11-06
think acknowledge difference create solution limited normally created pleasing effect good novice expert,2020-11-06
wordfriday trumpery something worthless insignificant le value might seem tawdry finery something trifling showy insubstantial deceit fraud imposture trickery nonsense twaddle trash junk weed hinder growth,2020-11-06
passiveaggressive solution stupid interview question every programmer know,2020-11-06
,2020-11-06
,2020-11-06
admire perseverance whenever ive explored properlambdaish thing java always ended mess syntax need refactored there lot need hiding away good job,2020-11-06
,2020-11-06
,2020-11-06
ive meaning recreate one j syntax little kinder eye,2020-11-06
yup included talk year back happens also speaking conference,2020-11-06
zameth hadnt brilliant thanks,2020-11-06
yes constraint today version table fixed value work speak,2020-11-06
meantime here quick proof n n gt b c,2020-11-06
zameth one favourite original writeup,2020-11-06
clearly beatles wrong said need love said need string,2020-11-06
case result printed fizz fizz,2020-11-06
,2020-11-06
conditionbased approach applies concept else ie execute absence match implicit challenge met use conditionbased control flow kind,2020-11-06
,2020-11-06
,2020-11-06
cmon know want make single expression,2020-11-06
referring avoiding lambda meet different objective closer solution posted week back,2020-11-06
developer often overlook visual design code many technique consideration used graphic web design worth considering context code quite good starting point,2020-11-06
visual metaphor containment layout code try respect metaphor done leave enclosing level encloses,2020-11-06
use controlflow construct pattern matching control flow switch ampamp etc controlflow construct,2020-11-06
would say biggest problem solution doesnt give correct result,2020-11-06
said though toying collecting together writing solution created come across book form documenting learn kind,2020-11-06
,2020-11-06
solution similar using equality result modulo multiplier pathological like,2020-11-06
would haskellike solution although solution would avoid controlflow moral equivalent haskell would rely pattern matching would use table lookup fact probably wouldnt use lambda either although course could,2020-11-06
,2020-11-06
although superficially similar solution quite different represent python version us table lookup controlflow construct datastructuredriven approach whereas c,2020-11-06
nan,2020-11-06
look like two monitor seating arrangement darkness screen right suggests one monitor used said use laptop two monitor look onto garden check shirt headphone black,2020-11-06
think reminded importance counting,2020-11-06
detail matter software engineering article based interview keynote software detail,2020-11-06
,2020-11-06
,2020-11-06
,2020-11-06
skaaning thanks spotting dont know happened perhaps conference know could fix,2020-11-05
nice really art,2020-11-04
programmer enamoured idea sideeffects bad becomes even simpler,2020-11-04
ware always enjoyed macho v wimp standoff dark matter framed year ago,2020-11-04
icymi last week wordfriday slab,2020-11-04
get,2020-11-04
cautionary tale,2020-11-03
gallardo zameth weve found sending back,2020-11-02
nice way putting,2020-11-02
zameth,2020-11-02
chance could change title something le sensational well correct insight research interesting would like share current title wording incorrect misleading multiple count thanks,2020-11-02
,2020-11-02
hope youre ok,2020-11-02
tide,2020-11-02
,2020-11-01
thanks good video,2020-11-01
,2020-11-01
indeed,2020-11-01
issue gain control resource relies assumption there resource controlled exclusively thats case come ironnickel asteroid psyche nice example far unique,2020-11-01
referring case user hit integration endtoend test easy way boost statement coverage covering multitude combination user easily access take different perspective approach,2020-11-01
,2020-11-01
yes gold common iron would worth le per kg cant much,2020-11-01
ereyesterdays wordfriday slab,2020-11-01
mean youre im thats im nonowri author novel writing,2020-11-01
,2020-11-01
,2020-11-01
course cautious assuming technology space offer u magical answer say technologist longtime space enthusiast,2020-11-01
case fossil fuel two issue defined term chemistry atmospheric physic power fossil fuel industry associated industry solving problem would easier without,2020-11-01
yes reason cautious particular case ability reduce power vested owning interest would strong incentive,2020-11-01
,2020-11-01
,2020-11-01
sand soil abundant comparison landbased still quantifiable scarcity would like taking existing availability soil sand scaling order magnitude,2020-11-01
said cost extraction could significantly reduced written opportunity resource access could usher era postscarcity would simply defuse undermine many asymmetry used drive wealth capitalism,2020-11-01
cost extraction minor compared quintillion market would probably crash long cost extraction recovered,2020-11-01
precise market iron nickel would effectively cease exist traditional sense much iron nickel introduced global economy,2020-11-01
medium outlet stop sensationalising based poor numeracy one basic grasp economics belief iron nickel asteroid worth quintillion market based resource static scarcity resource change,2020-11-01
,2020-11-01
,2020-11-01
nan,2020-11-01
choose choice would depend kind system example testing production would unsafe choice safetycritical system,2020-11-01
unless system trivial wont cover case occur youll order magnitude issue combinatrics occur integration test occur ee test ee test valuable theyre viable replacement unit test,2020-11-01
speed around track make difference code certainly prioritised avoiding damage vehicle however talking failing account nan propagating code issue,2020-11-01
unfortunately theory already falsified cant beat math one may find talk blog help clarify issue,2020-11-01
week instagram bristol,2020-10-31
integration testing important used replacement unit testing integration testing never offer kind case coverage unit test offer equivalent effort,2020-10-31
given nan testing algorithm lowhanging fruit simple checklist item testing slide training kind problem revealed unit test problem conclude unit test really solid,2020-10-31
dont think performance optimisation critical factor using matlab,2020-10-31
yesterday wordfriday slab,2020-10-31
aha yes found,2020-10-31
true dont think there problem nan propagating many function exist problem nonfunctions ie procedure sideeffects real world checked boundary guarded tested,2020-10-31
speaking opportunity running oneday workshop unit testing c conference friday th november program gut c,2020-10-31
interesting bug fall revealed unit test category course possibility doesnt offer certainty offer pause thought opportunity improve testing tooling,2020-10-31
,2020-10-31
im intrigued statement wittgenstein make would need revisited context slab,2020-10-31
matlab nan javascriptspecific concept introduced iee,2020-10-31
today wordfriday slab,2020-10-31
wmurphy would cautious taking advice formal reasoning logic someone suffering mercury poisoning,2020-10-30
wordfriday slab acronym formed stupendously large black hole supermassive black hole smbhs heart galaxy million billion solar mass slab theorised weigh billion solar mass,2020-10-30
,2020-10-30
nice,2020-10-30
plausible explanation,2020-10-29
add intermittent rant insufficient modelling state software common mishandling zero empty state etc steam game doesnt look like thing youve played past course doesnt ive joined,2020-10-29
oh wishing best,2020-10-29
,2020-10-29
,2020-10-29
bristol number tier northern english standard,2020-10-28
tier tier compliance officer population half million tier plus spin,2020-10-28
tier short tier political spin,2020-10-28
,2020-10-28
thing rather pr thing,2020-10-28
icymi last week wordfriday typochondriac,2020-10-28
done,2020-10-28
image,2020-10-28
technique useful legacy code cant easily otherwise test without modifying code test new code however coupling loose enough unit tested therefore mocked easily,2020-10-28
,2020-10-27
zameth messy,2020-10-27
youre really though,2020-10-27
,2020-10-27
,2020-10-27
clarify tweet didnt say computing hash expensive said insertion expensive,2020-10-26
think may read tweet closely enough find error id happily accept correction claim case there correction made,2020-10-26
version call duty targeted software developer player move around hostile legacy code fire process etc,2020-10-26
,2020-10-26
rip,2020-10-25
third lot many seriesauthors know see size scope whole series radical departure didnt feature rincewind luggage seemed different focus style also matured,2020-10-25
look really interesting thanks hadnt come across,2020-10-25
,2020-10-25
,2020-10-25
ereyesterdays wordfriday typochondriac,2020-10-25
nice,2020-10-25
yes equal rite real turning point writing,2020-10-25
lot social commentary advocacy writing youre lost flow reading book sometimes dont see sharp onpoint observation critique,2020-10-25
,2020-10-25
nice,2020-10-24
yesterday wordfriday typochondriac,2020-10-24
,2020-10-24
,2020-10-24
,2020-10-24
like taking logic table implied oring two bit together using table directly,2020-10-24
concisely python,2020-10-24
favourite table lookup approach though avoids need combination operation completely fully committing tabular form using array,2020-10-24
replace use intermediate variable straight lookup expression tablen n,2020-10-24
might also quibble use operation even though bitwise rather logical case avoid issue altogether use addition ever adding together use rather overkill,2020-10-24
however c version show problem undefined behaviour line string literal overwritten,2020-10-24
table lookup one favourite approach favourite probably one us srand rand,2020-10-24
monetary amount whole respect minor unit dealing fractional example would case interest rate currency conversion integer work fine considered scaled integer translating major unit,2020-10-24
thats dog cosplaying racoon cosplay day th august year,2020-10-24
lts,2020-10-24
today wordfriday typochondriac,2020-10-24
,2020-10-23
,2020-10-23
zameth,2020-10-23
start dont worry generalisation need avoid scope drift talking currency easily exclude bitcoin consideration speculative assert rather currency,2020-10-23
indeed however tweet prompt post anyone whose first instinct reach floatingpoint type fixedpoint generally wrong ever correct chance,2020-10-23
parent would say nit measure nit,2020-10-23
,2020-10-23
normal level worry suggests worry scale would si unit worry,2020-10-23
believe fall youre paranoid doesnt mean theyre get interpretation,2020-10-23
depends little currency absence fixeddecimal type scaled integer often good solution,2020-10-23
ok spec precise want go many type many type result may many type one value rather single value type misunderstood,2020-10-23
foldreduceaggregateaccumulateetc mind,2020-10-23
,2020-10-23
yeah wait delete thread immediately,2020-10-23
scasecases,2020-10-23
ah yes classic defence prior art term someone el poor design,2020-10-23
yes youre forecasting like float fine however working context conservation money rule domain transfer x b result transfer x b x floating around doesnt cut,2020-10-23
using integer viable solution number case c developer group would recommendation idea decimal gateway drug float however feel speculative credible reason use decimal,2020-10-23
language prefer c,2020-10-23
indeed good writeup address moan,2020-10-23
yeah first saw working bank many year ago,2020-10-23
indeed one problem time there requirement rounding problem outofthebox decimal type good fit dont even use hope getting rounding right bayesian prior low,2020-10-23
although true explicitly issue context,2020-10-23
although im sure thats relevant developer already ignoring data type available type ignore going solve problem,2020-10-23
running workshop still surpriseddismayed often senior developer choose float even double represent monetary quantity main language question c,2020-10-23
,2020-10-23
distinctive signature style artist personal watermark expression,2020-10-23
,2020-10-23
wordfriday typochondriac someone abnormally worried spelling grammar written recheck even already proofed spellchecked,2020-10-23
,2020-10-23
nothing dangerous idea one idea mileauguste chartier,2020-10-23
argument anyone make trying guilt moralise someone adopting practice poor approach practice advocate believe one way something show lack imagination appreciation complexity system creation,2020-10-23
ware,2020-10-22
ware nocebo effect slightly different,2020-10-22
smurphymuphry,2020-10-22
believe phenomenon related muphrys law,2020-10-22
,2020-10-22
,2020-10-22
,2020-10-22
reached destination,2020-10-21
still repeated condition showing solutionexhibit b goal condition stated uniquely executed apology unclear,2020-10-21
human would anything see possible put large switch cave somewhere sign saying endoftheworld switch please touch paint wouldnt even time dry terry pratchett,2020-10-21
language question cwrittenasifitwerec problem unique particular classonly situation,2020-10-21
,2020-10-21
developer often justify attention quality justifying need proper professionalism moralistic argument implies quality come cost dooming argument,2020-10-21
,2020-10-21
famous infamous one step much one oscar wilde,2020-10-21
anyone who wondered display software failure referred here origin story,2020-10-21
b,2020-10-21
b,2020-10-21
solid rock rigid obfuscated coupled kabbalistic,2020-10-21
yeah proper code unless there raw sql text composed using advanced technology string concatenation,2020-10-21
user favourite colour user preferred pizza topping user mother first dog maiden name,2020-10-21
yikes developer quoted critiquing piece old code chuckle necessary sense humour,2020-10-21
drink everyones friend come tear emotion,2020-10-21
oh class follows single responsibility principle single responsibility everything,2020-10-21
,2020-10-21
law demeter lying whimpering forgotten corner chainwreck four object challenge try decrypt meaning component word data name flaunt devalued currency name become,2020-10-21
lowette weve watched release order timeline order prefer timeline order,2020-10-20
clearly im roadfurniture kind guy bot,2020-10-20
sure supporting evidence human damn im getting good identifying u fire hydrant traffic light,2020-10-20
ive mentioned couple time talk focus,2020-10-20
,2020-10-20
im looking forward bit vizzinibbuk try outwit eu guess wine iocane,2020-10-19
,2020-10-19
monday perfect opportunity delivery friday possibly sooner,2020-10-19
,2020-10-19
ovenready think mean think mean,2020-10-18
week instagram bristol,2020-10-18
,2020-10-17
sandworms,2020-10-17
,2020-10-17
,2020-10-17
thanks context video make clear example intended serious approach neither particularly performant particularly readable gloriously playful mindbendingly educational purpose,2020-10-17
nice,2020-10-17
yes conditional challenge without conditionals without rechecking previously checked condition,2020-10-17
absence make heart grow fonder,2020-10-15
break,2020-10-15
recently substition venus possibility life empathy liberalism habitable exoplanets black hole home working buried lake mar grandfather paradox resolved logical fallacy selfishcombative people removing guitar neck pickup,2020-10-15
wouldnt youre beyond help ive seen send eye bleach,2020-10-15
great way putting,2020-10-15
dysfunctional memory denial stockholm syndrome,2020-10-14
recently softwarily identifier naming spreadsheet error gilded rose kata simula g lambda bbc micro elite source code unreasonable architecture api real number yugoslavia galaksija computer floatingpoint error zuse z python,2020-10-14
people ever wise enough refuse follow bad leader take away freedom people eleanor roosevelt,2020-10-14
im speaking november here discount code event friendofminexi,2020-10-14
bug fixing,2020-10-13
,2020-10-12
feel standardised programming language alternative keyword would add little spice conventional control flow,2020-10-12
,2020-10-12
remember story run dont look back,2020-10-12
,2020-10-12
mazur yes issue spreadsheet concept expressive powerful accessible realised,2020-10-11
mazur honeycode appsheets targeted issue spreadsheet arise dont know enough honeycode appsheets say whether theyll improve thing know hype need filtered,2020-10-11
mazur there two issue worth separating effectiveness noncode programming approach nonprogrammers tool contain known design usability increase incidence error,2020-10-11
yeah think truth value everybody know use excel par commonness common sense,2020-10-11
yes excel programming thats issue issue tool poorly designed user piece early ux fine one microsoft user,2020-10-11
dont problem m bunding excel office apps problem refusal address flaw multiple decade time frame seen radically improve every single application system ship,2020-10-11
mazur please crosscheck review spreadsheet uncommon request filing bug report microsoft otherwise putting pressure update improve excel coelacanth office apps,2020-10-11
mazur although truth dont think thats strong factor people make problem doesnt even occur excel user ask help alternative option software developer data scientist etc peer,2020-10-11
excels behaviour far user friendly show failure engage user riddled fault need fixed like software product,2020-10-11
thats great way justifies necessitates conversionrelated flaw type error default use floatingpoint lack visibility data flow arbitrary limit etc,2020-10-11
seen comment defending excel developer appeal user business use misunderstands issue appeal user openness simplicity flexibility grid layout entry manipulation,2020-10-11
bad enough business misuse excel without understanding flaw wasting people time money result making lifecritical decision using inappropriate tool stuff litigation show failure learn engage expertise necessary,2020-10-11
,2020-10-11
,2020-10-11
make style reminiscent scheme leaning would towards naming term kind list eg log message something like logwithnewmessage logupdatedwithmessage updatedmessagelog point useful direction,2020-10-11
,2020-10-10
,2020-10-10
consider endorsement officially renewed,2020-10-10
hm,2020-10-10
booch,2020-10-10
,2020-10-10
thnaks junit,2020-10-09
ware indeed many case adding developer ontime project good way make late,2020-10-09
recently interstitious james baldwin amp chinua achebe eddie van halen sanskrit bertrand russell function word japanese word rain telling time around world van gogh pop music obsession supertonic evolution alphabet,2020-10-08
yes observation directly patterned stephen hawking publisher observation brief history time along line every equation included book half readership ended including one equation e mc,2020-10-08
reminded morning observation made c template complexity matthew wilson eponymised henneys hypothesis additional required template parameter potential number user halved,2020-10-08
smolak plan rewatch contact felt let first saw long worth revisiting moon good contender gravity district mad max fury road rewatched week ago next grouping planning rewatching anime,2020-10-07
yes inspired rt old definition wish mentioned andrea ghez name post rather finkbeiners quote astronomner,2020-10-07
smolak yet towatch list working rewatches last month younger son getting drawn enjoys thing fascinated timerelated story likely well get watch foreseeable future,2020-10-07
smolak outside top elysium rogue one silent running different week would probably move there sure film ive forgotten reminded would say course expand list top,2020-10-07
smolak next would also likely include blade runner blade runner inception interstellar alien fifth element sunshine matrix star trek dredd ive excluded superhero franchise otherwise dark knight film guardian galaxy would,2020-10-07
smolak arrival martian coincidence rewatched last night definitely top get tricky,2020-10-07
smolak good question yes quite right listing space odyssey one top,2020-10-07
smolak yes every day word nonnative english speaker good technical english likely come across scientific meaning poetic one,2020-10-07
smolak word wonderful bad choice work better spoken spoken clearer someone using emphasise wonder rather using word inflated version good another word would tempted use sublime,2020-10-07
smolak ive watched movie many time ive lost count coincidence watched yesterday evening put one word hard especially movie teach u easy misinterpret single word,2020-10-07
,2020-10-07
shh dont ask may answer,2020-10-07
signedunsigned problem people often misidentify case unsignedsigned still problem replace signed unsigned boundarychecking statecoherence issue,2020-10-07
language dislike unsigned type especially include unsigned type,2020-10-07
